X_Coord	    Y_Coord	        RA	        DEC
153.1575	872.3277	79.200002	45.984632
459.8882	621.7188	51.065608	49.825661
542.1122	133.2754	14.194861	60.716918
765.3683	524.1028	31.017691	42.316854
645.4891	116.3878	10.074610	56.527484
582.3603	987.0976	58.523228	31.860742
247.7683	141.9251	30.899182	72.446817
706.8120	1117.8224	56.865246	24.029971
76.9092	    442.8249	73.509252	66.338972
616.7789	721.0787	47.046245	40.981427
519.1369	215.2083	21.516402	60.231117
221.5421	895.8586	75.508354	43.819966
705.4006	122.9406	9.189802	53.873730
654.3494	745.5254	46.288931	38.861145
321.6431	1105.3375	74.291975	33.113444
311.6066	255.6657	37.302053	67.395133
100.1785	570.3745	75.832519	60.427616
458.7750	527.5873	46.225450	53.443033
609.4591	134.7539	12.293979	57.804633
875.8083	635.4675	32.396112	34.966621
665.4997	365.8439	25.957340	50.666613
519.7641	927.8633	59.738497	35.795200
222.9273	954.9255	76.643950	41.207310
214.1411	399.7375	57.330796	65.510161
435.9069	690.3483	55.657884	47.789240
420.8284	242.4368	28.668491	63.643741
712.5170	371.7025	24.559007	48.602816
876.5000	882.5742	42.472028	27.235237
612.5000	954.8511	56.089230	32.279391
846.4867	445.7217	24.208555	41.376982
279.0814	161.1660	30.484598	70.898010
310.8900	709.4376	64.463471	50.261337
477.4740	850.9054	59.418084	40.021731
704.2075	714.2925	42.659410	38.331948
791.3527	291.5164	17.415749	47.233679
138.8990	290.8313	57.606566	71.318683
454.6877	463.7495	42.722386	55.855637
515.3987	49.3978	    8.167681	62.957578
700.5000	1123.2595	57.277926	24.000225
873.0254	676.5000	34.310070	33.823505
491.6309	516.9384	43.635229	52.703748
635.6190	224.0885	17.807283	55.134558
710.9102	1119.8352	56.752903	23.862468
239.3744	951.3762	75.635628	41.071798
561.3815	665.5610	47.378487	44.872985
537.4336	119.4382	13.246593	61.124856
908.5000	55.2194	    2.242921	46.407166
660.5000	716.5004	44.745740	39.712252
500.2212	594.3005	47.302619	49.579907
448.2434	671.6500	54.091501	48.189734
563.1907	543.7947	41.140476	49.227148
527.7861	246.9898	23.583681	59.198683
791.6097	1201.0197	55.782823	19.346390
143.8485	294.3387	57.297657	71.082260
488.1815	780.2145	56.258787	42.614656
60.5000	    1097.7805	87.367784	37.517488
338.3208	737.2023	63.659692	48.399702
225.9943	1028.5000	77.832813	38.004476
749.7819	764.5000	42.839336	35.085224
323.3727	469.6550	52.264385	59.886746
415.1294	877.8293	63.738498	40.501121
579.7836	143.2845	13.779899	58.946692
451.2598	636.7029	52.308007	49.500653
363.3578	738.8090	62.115240	47.712734
335.3443	487.7521	52.411992	58.842819
759.0058	1164.5000	56.056943	21.247262
343.6451	689.5845	61.514508	50.323143
698.4806	1103.4120	56.803965	24.722074
567.8515	372.5000	30.596047	54.431753
466.7500	663.4127	52.608394	47.963810
70.0000	    126.0000	50.427299	78.257954
588.5000	484.5000	36.508483	50.271499
700.5000	100.5000	7.830088	54.396613
625.8998	749.4952	47.818439	39.630422
413.9198	481.2699	46.428450	56.626192
469.7133	606.2789	49.712286	50.116516
332.5000	900.5000	69.089267	41.439581
460.5000	641.7037	51.980880	49.018507
321.9942	996.5000	72.028510	37.570235
303.0058	1028.5000	73.729856	36.606258
20.5000	    1108.5000	89.447810	37.546221
