X_Coord	        Y_Coord	        RA	        DEC
627.7804	517.7899	310.463440	45.345711
707.7208	448.1705	305.648401	40.328915
253.3871	1047.2100	10.117824	56.562417
294.1303	27.9499	        262.522979	52.305806
255.0780	755.9021	342.246156	66.143022
843.2531	958.7771	340.730032	30.226997
912.8493	188.5574	292.666385	27.887799
500.8609	1007.6829	354.286094	46.521180
604.9176	349.9835	296.385921	45.187844
405.0511	723.7463	332.577515	58.155760
172.0744	1020.2056	14.211846	60.729317
825.3780	517.7538	311.592559	34.049737
213.8745	618.7569	322.174094	70.470613
27.3177	        48.9470	        245.809949	61.513989
782.9593	90.7298	        284.722022	32.637321
861.2348	1059.4875	345.955010	28.041909
611.8574	937.7282	345.365192	42.399274
360.2943	548.1227	311.471275	61.776985
273.2827	953.4410	2.128241	59.168497
360.9311	87.7172	        269.086139	51.484720
895.8158	615.1748	318.228317	30.267691
305.2722	687.8818	330.875130	64.551506
219.5451	408.8093	288.382882	67.643823
948.8693	1030.8400	342.495284	24.538931
757.9537	59.6498	        282.506201	33.314095
489.3155	915.8522	348.007460	49.456669
349.9453	611.2709	319.698609	62.482526
117.3684	1076.2281	21.579029	60.234385
651.8695	585.3057	316.282085	44.009129
575.0798	183.7889	283.856324	43.956850
788.8475	338.0222	299.119672	35.103498
199.4458	476.8831	297.238795	70.225404
528.9998	1036.5327	355.025998	44.377178
85.4665	        195.0367	257.035671	65.725188
927.0690	1177.1719	350.164619	23.691727
221.0309	1047.1799	12.302824	57.828641
892.7424	446.8827	307.353747	30.366391
36.8032	        723.4830	354.732877	77.629963
679.8973	206.9654	288.454361	39.137207
278.9407	150.8538	268.312666	56.884463
485.3312	342.9529	292.610776	51.768897
390.9745	760.6675	337.122882	58.382785
698.4670	560.9928	314.344368	41.250006
293.6730	1074.8540	9.249649	53.913680
671.0282	83.0497	        281.162427	37.548479
94.4895	        383.3385	275.293014	72.738109
447.7720	320.8946	289.463205	53.405777
548.8373	1039.9502	354.452676	43.318629
594.5056	440.6434	303.512323	46.820395
751.1499	617.4226	318.703571	38.140923
22.6295	        1057.9539	28.737364	63.668439
114.7530	367.9362	275.223035	71.343797
697.1232	113.8132	283.576670	36.860429
862.5605	960.5795	340.426914	29.279673
421.0668	736.9106	333.604892	57.006607
727.8238	625.0964	319.359599	39.460538
633.8419	102.9958	281.054715	39.604098
700.8783	208.5408	289.104381	38.116450
317.2878	941.8461	358.448564	57.522118
619.6880	667.5370	323.488595	45.677779
198.4831	635.3439	325.447592	71.236464
368.7292	664.1973	326.300114	61.037545
59.0603	        331.9183	265.333178	72.171413
301.7343	1256.0298	17.470539	47.225255
909.2294	1097.7732	346.784252	25.438909
406.9050	665.5980	325.826875	58.708811
74.8904	        533.1868	302.314840	77.670569
204.8084	1131.1451	17.903853	55.139630
602.1520	861.9258	340.033720	44.357455
463.2153	237.0911	283.406751	50.731529
555.4575	694.3892	326.636376	49.375777
730.1826	818.9885	333.928103	37.842675
246.9815	488.3309	300.895860	67.812153
186.8190	951.0068	8.142042	62.951023
579.8539	449.0142	303.999648	47.759669
915.0322	737.9652	326.027704	28.768483
435.9077	470.5670	303.543863	56.567894
576.7109	1252.3547	4.652722	36.760983
783.5708	240.0399	292.940272	34.421988
128.4828	452.9802	289.065249	73.338473
855.4677	430.6607	305.987674	32.215267
93.6223	        715.4383	346.812615	75.347618
337.7231	520.1176	307.562571	62.938343
815.4166	818.0699	332.424197	33.261961
95.6971	        279.8483	264.133840	68.779724
581.7081	795.2759	335.146471	46.608109
349.8541	1172.4097	11.269262	48.260993
3.2317	        403.0919	267.098710	76.991152
549.5087	1221.6802	4.337194	38.645569
629.3408	838.7287	337.532702	43.210356
775.1906	1214.4016	356.046304	29.331129
928.1155	1202.7919	351.301764	23.324489
520.0000	351.0000	294.313638	49.967877
